"species" "time" "speed"
"paca" 0.10255787 0.533333341
"agouti" 0.699050926 0.34000001
"coati" 0.474386574 0.34000001
"peccary" 0.351122685 0.35999999
"agouti" 0.364386574 0.35999999
"brocket" 0.553333333 0.379999995
"agouti" 0.671898148 0.44000001
"coati" 0.729988426 0.574999988
"agouti" 0.355625 0.699999988
"coati" 0.537766204 0.619999981
"agouti" 0.374664352 0.719999981
"agouti" 0.438402778 0.140000001
"paca" 0.96650463 0.283333341
"ocelot" 0.909282407 0.293333332
"agouti" 0.370474537 0.569999993
"rat" 0.073275463 0.366666675
"agouti" 0.264849537 0.726666689
"agouti" 0.423078704 0.067692307
"agouti" 0.590949074 0.699999988
"paca" 0.946574074 0.056666666
"paca" 0.887222222 0.213333329
"brocket" 0.571458333 0.106666668
"agouti" 0.593923611 0.216666659
"agouti" 0.496215278 0.305000007
"agouti" 0.715462963 0.24333334
"rat" 0.002731481 0.25
"rat" 0.051261574 0.176666657
"rat" 0.949409722 0.062222222
"agouti" 0.282349537 0.213333329
"ocelot" 0.837395833 0.400000006
"coati" 0.514490741 0.174999997
"agouti" 0.703391204 0.282499999
"agouti" 0.728958333 0.166666667
"agouti" 0.742650463 0.360000014
"brocket" 0.462546296 0.122000003
"agouti" 0.734560185 0.276666661
"agouti" 0.448043981 0.237499997
"peccary" 0.776608796 0.333333333
"agouti" 0.455902778 0.550000012
"coati" 0.425173611 0.140000001
"agouti" 0.300324074 0.189999998
"agouti" 0.271145833 0.600000024
"opossum" 0.931180556 0.200000008
"opossum" 0.072777778 0.25333333
"agouti" 0.343090278 0.859999975
"agouti" 0.565532407 0.080000001
"agouti" 0.492233796 0.125
"armadillo" 0.161145833 0.073000002
"armadillo" 0.981458333 0.633333325
"agouti" 0.341770833 0.118749999
"paca" 0.89775463 0.366666675
"agouti" 0.733090278 0.266666671
"peccary" 0.503576389 0.360000014
"agouti" 0.297800926 0.400000016
"agouti" 0.291597222 0.450000008
"ocelot" 0.928587963 0.764999986
"agouti" 0.391041667 0.164285711
"brocket" 0.316423611 0.184000003
"mouse" 0.013865741 0.174999997
"agouti" 0.632523148 0.045
